Invoice ID,Customer ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750678428,CUST001,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,01/05/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
226313081,CUST002,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,03/08/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
631413108,CUST003,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,03/03/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
123191176,CUST004,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
373737910,CUST005,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,02/08/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,CUST006,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,CUST007,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,CUST008,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,CUST009,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,01/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
692-92-5582,CUST010,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
351-62-0822,CUST011,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,02/06/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,CUST012,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,03/09/2019,17:03,Cash,102.04,4.761904762,5.102,6.8
365-64-0515,CUST013,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,02/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,CUST014,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,02/07/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,CUST015,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,CUST016,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
656-95-9349,CUST017,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,03/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,CUST018,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,01/01/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
329-62-1586,CUST019,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,CUST020,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,03/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,CUST021,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,CUST022,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,03/05/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,CUST023,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
636-48-8204,CUST024,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,CUST025,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,03/02/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,CUST026,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
649-29-6775,CUST027,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,02/08/2019,15:31,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,CUST028,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,03/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
145-94-9061,CUST029,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,CUST030,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
871-79-8483,CUST031,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,CUST032,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,CUST033,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,01/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1
595-11-5460,CUST034,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
183-56-6882,CUST035,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,02/06/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5
