Code,Name,Date,Price,Share,Amount,Warran,Underwriter,Sector,Subsector,Field,Website,Prospectus,Summary_Prospectus,Alamat,Image,1 candle gain,2 candle gain,3 candle gain,4 candle gain,5 candle gain,6 candle gain,7 candle gain,1 candle high,2 candle high,3 candle high,4 candle high,5 candle high,6 candle high,7 candle high,Papan Pencatatan
GUNA,PT. Gunanusa Eramandiri Tbk.,2024-07-09,Rp150,20%,"5,000,000 lot",0,GR - PANIN SEKURITAS TBK.,Barang Konsumen Primer,Makanan & Minuman,"Industri makanan dari kedele dan kacang-kacangan lainnya bukan kecap, tempe dan tahu",https://www.gunanusaeramandiri.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/prospectus/unzr3ugxtl.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/summary-prospectus/clcxr81pv8.pdf,"Kawasan Industri BIIE Hyundai Jl. Inti I Kav. 3 No. 3 Kelurahan Cibatu, Kecamatan Cikarang Selatan, Kabupaten Bekasi, Provinsi Jawa Barat 17550",https://storage.googleapis.com/assets.trading.stockbit.com/company/GUNA/logo/bjqi3qax30.png,34.66666666666667,68.0,109.33333333333331,98.66666666666669,94.66666666666669,105.33333333333331,-1.0,34.66666666666667,68.0,109.33333333333331,161.33333333333331,116.0,114.66666666666669,-1.0,Pengembangan
GOLF,PT Intra GolfLink Resorts Tbk,2024-07-08,Rp200,15.02%,"31,000,000 lot",0,IF - SAMUEL SEKURITAS INDONESIA,Barang Konsumen Non-Primer,Barang Rekreasi,"Bergerak Dalam Bidang Jasa Konsultasi Manajemen dan Pengelolaan Lapangan Golf, Pengembangan Properti",https://www.golflinkresorts.co.id/id,https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/prospectus/b9g6nc5woc.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/summary-prospectus/bl42rrzij2.pdf,"Desa Kadumanggu, Kecamatan Madang Bogor 16810 – Jawa Barat",https://storage.googleapis.com/assets.trading.stockbit.com/company/GOLF/logo/z5y5d69oy7.png,35.0,36.0,20.0,20.0,15.0,9.0,12.0,35.0,51.0,38.0,31.0,21.0,20.0,14.000000000000002,Utama
LABS,PT UBC Medical Indonesia Tbk,2024-07-10,Rp102,17.72%,"7,000,000 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Kesehatan,Jasa & Peralatan Kesehatan,Distributor Alat Kesehatan,https://www.ubcindonesia.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/prospectus/35hg2br9p7.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/summary-prospectus/vtk98s5v6o.pdf,"Kawasan Industri Pulogadung, Jl. Rawagelam V, Blok L, No Kav 11-13, Kel. Jatinegara Kec. Cakung Jakarta Timur, Jakarta",https://storage.googleapis.com/assets.trading.stockbit.com/company/LABS/logo/98kykjb294.png,34.31372549019608,80.3921568627451,92.15686274509804,66.66666666666666,76.47058823529412,-1.0,-1.0,34.31372549019608,80.3921568627451,123.52941176470588,109.80392156862746,88.23529411764706,-1.0,-1.0,Pengembangan
ISEA,PT Indo American Seafoods Tbk,2024-07-08,Rp250,20.86%,"2,900,000 lot",2 : 1,CP - VALBURY SEKURITAS INDONESIA,Barang Konsumen Primer,Makanan & Minuman,"Industri Pembekuan Biota Air Lainnya, Industri Makanan dan Masakan Olahan, Industri Berbasis Daging",https://www.indoamericanseafoods.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/prospectus/m2xf52p5xk.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/summary-prospectus/ysfdsb75xu.pdf,"Jl. Ir. Sutami KM 13, Desa Sukanegara, Kecamatan Tanjung Bintang, Kabupaten Lampung Selatan, Provinsi Lampung, Indonesia – 35361.",https://storage.googleapis.com/assets.trading.stockbit.com/company/ISEA/logo/gymrg9n0mz.png,24.8,28.000000000000004,52.0,87.2,40.8,41.6,47.2,24.8,40.0,52.0,88.0,98.4,44.8,48.0,Pengembangan
PART,PT Cipta Perdana Lancar,2024-07-05,Rp105,25%,"6,800,000 lot",1 : 1,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,"Perseroan bergerak di bidang Manufaktur Komponen Suku Cadang Otomotif, Elektronik dan Sanitasi",https://www.ciptaperdanalancar.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/prospectus/cat89pujj5.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/summary-prospectus/99om301emq.pdf,"Jl. Prabu Siliwangi KM 0,5 Keroncong, Kec. Jatiuwung, Kota Tangerang Banten 15134",https://storage.googleapis.com/assets.trading.stockbit.com/company/PART/logo/htydj1ad9f.png,24.761904761904763,4.761904761904762,10.476190476190476,16.19047619047619,22.857142857142858,21.904761904761905,26.666666666666668,34.285714285714285,28.57142857142857,19.047619047619047,18.09523809523809,22.857142857142858,29.52380952380953,26.666666666666668,Pengembangan
BLES,PT Superior Prima Sukses Tbk,2024-07-08,Rp183,15.05%,"13,189,790 lot",0,YJ - LOTUS ANDALAN SEKURITAS,Barang Baku,Barang Baku,Industri Bata Ringan dan Semen Mortar,https://superiorprimasukses.com,https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/prospectus/9uaz4dbcvr.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/summary-prospectus/21y52bz296.pdf,"Jl Raya Kupang Baru No 27, Dukuh Kupang, Dukuh Pakis, Surabaya Jawa Timur 60225",https://storage.googleapis.com/assets.trading.stockbit.com/company/BLES/logo/9ix7awga5m.png,34.42622950819672,67.21311475409836,49.72677595628415,50.81967213114754,40.98360655737705,35.51912568306011,37.704918032786885,34.42622950819672,67.21311475409836,73.77049180327869,59.56284153005464,53.00546448087432,43.16939890710383,44.26229508196721,Utama
SPRE,PT Soraya Berjaya Indonesia Tbk,2024-07-03,Rp125,30%,"2,400,000 lot",0,EP - MNC SEKURITAS,Barang Konsumen Non-Primer,Barang Rumah Tangga,industri dan perdagangan barang jadi keperluan rumah tangga,https://sorayaberjaya.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/prospectus/91859gzi3a.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/summary-prospectus/yzan37zt71.pdf,"Jl. Bandes, Keluarahan Aie Pacah, Kecamatan Koto Tangah, Kota Padang, Sumatera Barat 25176",https://storage.googleapis.com/assets.trading.stockbit.com/company/SPRE/logo/damqji059s.png,9.6,20.0,16.8,28.000000000000004,40.8,54.400000000000006,69.6,9.6,20.0,21.6,28.000000000000004,40.8,54.400000000000006,69.6,Akselerasi
BATR,PT Benteng Api Technic Tbk,2024-06-10,Rp110,20.5%,"6,200,000 lot",1 : 1,HD - KGI SEKURITAS INDONESIA,Barang Baku,Barang Baku,Manufaktur & Perdagangan produk Refraktori (Material Tahan Api) dan Insulasi Tahan Panas,https://bentengapi.com/,https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/prospectus/knl8ulkrx0.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/summary-prospectus/iqwc8l277s.pdf,"Jl. Kebraon II No. 103 A, Surabaya, Jawa Timur 60222",https://storage.googleapis.com/assets.trading.stockbit.com/company/BATR/logo/lrfyuqg6q0.png,9.090909090909092,1.818181818181818,-11.818181818181818,-7.272727272727272,-19.090909090909093,-23.63636363636364,-15.454545454545451,34.54545454545455,19.090909090909093,8.181818181818182,-3.636363636363636,-6.363636363636363,-17.272727272727273,-11.818181818181818,Pengembangan
SOLA,PT Xolare RCR Energy Tbk,2024-05-08,Rp110,20%,"6,562,500 lot",0,AI - UOB KAY HIAN SEKURITAS,Barang Baku,Barang Baku,"Perdagangan Aspal, Industri Pengolahan Aspal dan Jasa Konstruksi",https://www.xolare.co.id/,https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/prospectus/x15012l8k1.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/summary-prospectus/sk4492lktj.pdf,"Gedung Plaza Simatupang Lt. 6, Jl. TB Simatupang Kav. IS No. 01 Pondok Pinang, Kebayoran Lama, Jakarta Selatan, DKI Jakarta 12310",https://storage.googleapis.com/assets.trading.stockbit.com/company/SOLA/logo/33iu9eh7b8.png,34.54545454545455,31.818181818181817,70.9090909090909,129.0909090909091,71.81818181818181,11.818181818181818,-27.27272727272727,34.54545454545455,54.54545454545454,73.63636363636363,129.0909090909091,149.0909090909091,53.63636363636364,30.0,Pengembangan
DATA,PT Remala Abadi Tbk,2024-05-07,Rp188,20%,"2,750,000 lot",0,AI - UOB KAY HIAN SEKURITAS,Teknologi,Perangkat Lunak & Jasa TI,"Internet service provider, layanan konsultasi IT serta jaringan tetap berbasis kabel, jaringan teta",https://remala.id,https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/prospectus/qsqpewarfx.pdf,https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/summary-prospectus/yccz5gohl1.pdf,"Graha Mustika Ratu Jalan Gatot Subroto No.74-75, Jakarta Selatan DKI Jakarta 12870",https://storage.googleapis.com/assets.trading.stockbit.com/company/DATA/logo/p4c423idag.png,34.04255319148936,67.02127659574468,90.42553191489364,118.08510638297874,131.91489361702128,100.0,75.53191489361703,34.04255319148936,67.02127659574468,107.4468085106383,128.72340425531914,143.61702127659575,135.1063829787234,114.8936170212766,Pengembangan
