id,jenis,warna,image_array
1,1,1,"[[[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [242 242 242]
  [242 242 242]
  [242 242 242]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [242 242 242]
  [242 242 242]
  [242 242 242]]

 [[242 242 242]
  [242 242 242]
  [242 242 242]
  ...
  [242 242 242]
  [242 242 242]
  [242 242 242]]

 ...

 [[233 232 230]
  [233 232 230]
  [233 232 230]
  ...
  [240 239 237]
  [240 239 237]
  [240 239 237]]

 [[233 232 230]
  [233 232 230]
  [233 232 230]
  ...
  [239 238 236]
  [239 238 236]
  [239 238 236]]

 [[233 232 230]
  [233 232 230]
  [233 232 230]
  ...
  [234 233 231]
  [234 233 231]
  [234 233 231]]]"
2,0,2,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
3,1,3,"[[[ 75  65  53]
  [ 79  69  57]
  [ 82  72  60]
  ...
  [ 58  48  39]
  [ 54  44  35]
  [ 52  42  33]]

 [[ 76  66  54]
  [ 78  68  56]
  [ 80  70  58]
  ...
  [122 113  98]
  [119 109  97]
  [120 108  96]]

 [[ 77  67  55]
  [ 78  68  56]
  [ 79  69  57]
  ...
  [114 103  83]
  [113 102  82]
  [112 101  81]]

 ...

 [[170 163 145]
  [174 167 149]
  [175 168 150]
  ...
  [168 157 139]
  [204 197 181]
  [189 183 171]]

 [[168 161 143]
  [172 165 147]
  [175 168 150]
  ...
  [200 189 171]
  [190 184 172]
  [193 190 181]]

 [[168 163 144]
  [167 160 142]
  [170 163 145]
  ...
  [201 192 175]
  [182 178 166]
  [187 187 179]]]"
4,1,1,"[[[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]

 [[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]

 [[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]

 ...

 [[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]

 [[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]

 [[232 232 232]
  [232 232 232]
  [232 232 232]
  ...
  [232 232 232]
  [232 232 232]
  [232 232 232]]]"
5,0,4,"[[[105  72  31]
  [101  68  27]
  [ 97  64  23]
  ...
  [ 76  52  24]
  [ 71  50  29]
  [ 55  37  23]]

 [[ 87  53  15]
  [ 90  56  18]
  [ 93  60  19]
  ...
  [ 74  53  26]
  [ 65  47  27]
  [ 54  36  24]]

 [[ 88  54  16]
  [ 92  58  20]
  [ 93  59  21]
  ...
  [ 71  51  27]
  [ 63  44  29]
  [ 56  38  28]]

 ...

 [[ 42  43  38]
  [ 43  44  39]
  [ 24  25  20]
  ...
  [209 168 166]
  [219 174 181]
  [153 115 128]]

 [[ 41  42  36]
  [ 35  36  31]
  [ 18  19  14]
  ...
  [195 154 152]
  [226 177 183]
  [173 133 144]]

 [[ 40  41  35]
  [ 24  25  19]
  [ 12  13   8]
  ...
  [187 146 144]
  [228 177 184]
  [182 140 152]]]"
6,1,3,"[[[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]

 ...

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [234 234 234]
  [234 234 234]
  [234 234 234]]]"
7,0,4,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
8,1,2,"[[[157  11  14]
  [157  11  14]
  [158  12  15]
  ...
  [157  11  14]
  [157  11  14]
  [157  11  14]]

 [[157  11  14]
  [157  11  14]
  [157  11  14]
  ...
  [157  11  14]
  [157  11  14]
  [157  11  14]]

 [[157  11  14]
  [157  11  14]
  [157  11  14]
  ...
  [157  11  14]
  [157  11  14]
  [157  11  14]]

 ...

 [[157  11  14]
  [157  11  14]
  [157  11  14]
  ...
  [ 35  31  32]
  [ 35  31  32]
  [ 35  31  32]]

 [[157  11  14]
  [157  11  14]
  [157  11  14]
  ...
  [ 35  31  32]
  [ 35  31  32]
  [ 35  31  32]]

 [[157  11  14]
  [157  11  14]
  [157  11  14]
  ...
  [ 35  31  32]
  [ 35  31  32]
  [ 35  31  32]]]"
9,1,3,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
10,1,0,"[[[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[255 255 255]
  [255 255 255]
  [255 255 255]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]]"
